from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
24099;13332;1290;144.0;124;3:6,6:118
8020;29624;899;92.10810810810811;74;10:3,11:71
13533;8283;615;144.0;9;6:9
13533;8284;644;144.0;11;6:11
13533;8286;641;144.0;197;3:6,6:191
13534;25856;2339;222.0;219;3:6,6:213
12453;37305;1710;130.0;27;3:27
15589;3552;5170;330.0;6;10:6
15589;20075;1552;132.0;93;10:69,13:24
15590;21578;2071;126.0;94;10:69,13:25
15590;32516;2989;210.0;5;10:5
37822;30778;1599;120.0;80;11:80
37822;8483;2947;240.0;13;11:13
37096;4004;1155;119.16666666666667;72;7:72
38121;28115;1265;108.0;143;9:143
37098;25585;894;78.0;1;7:1
27320;18806;1208;102.0;84;11:84
24813;11820;813;84.0;72;11:72
24814;97;1305;108.0;74;10:3,11:71
29053;14341;990;96.16216216216216;74;9:74
29937;28859;3375;239.84;75;6:75
29937;28860;3355;240.0;1;6:1
29938;5164;1267;96.0;82;6:82
34036;424;1833;120.0;131;9:131
34037;28117;9784;568.3846153846154;52;9:52
34037;14343;1737;114.72972972972973;74;9:74
8745;30505;2337;156.0;12;8:12
8745;11099;8121;402.0;10;8:10
16634;30792;1065;126.0;1;12:1
16634;13652;907;82.75;96;12:93,4:3
16636;15888;7105;480.2142857142857;28;12:28
16636;35320;7104;477.9166666666667;12;12:11,4:1
16636;13652;904;150.0;1;12:1
16636;19383;5239;330.0;5;12:5
16636;30792;1063;111.0;44;12:44
16636;10409;3903;246.0;1;12:1
12454;22785;2159;132.24;25;3:25
25856;4060;860;155.013698630137;219;3:6,6:213
22785;7824;30198;1908.0;1;3:1
22785;7993;22067;1509.4285714285713;7;3:7
22785;37698;11336;730.5;4;3:4
22785;8069;6235;344.4;20;3:20
22785;30343;32018;2103.3333333333335;18;3:18
25858;13533;2339;186.0;217;3:6,6:211
22787;12453;2156;134.0;27;3:27
11820;26249;1191;120.25;72;11:72
2532;423;1600;114.09722222222223;72;9:72
34349;26951;1251;126.0;74;9:74
31108;22421;766;76.0909090909091;44;10:4,11:40
1309;13472;2002;165.0;2;8:2
19377;30793;4159;299.55555555555554;27;12:26,4:1
19377;16634;5217;358.8;10;12:8,4:2
19377;10414;1307;119.48936170212765;47;12:47
8483;11226;12213;930.0;1;11:1
8483;30779;1504;167.0;7;11:7
8483;15103;2135;150.0;84;11:84
29991;15698;4081;384.0;29;1:29
12587;7824;2013;137.21052631578948;38;3:2,6:36
12588;11793;2844;162.46153846153845;39;3:3,6:36
36148;18932;2882;216.0;25;4:25
5342;29256;4960;318.0;1;10:1
5342;29257;4960;313.8;50;10:50
5342;29258;4958;313.0;12;10:12
5342;29259;4958;318.0;5;10:5
36150;11353;3887;449.45454545454544;22;4:22
14900;20837;1457;119.91549295774648;71;12:71
14900;28118;1962;151.66666666666666;36;12:36
35130;2463;1277;96.0;78;12:78
19383;15888;1870;179.85;80;12:80
19383;35320;1869;180.0;7;12:7
35133;7969;1552;102.0;83;12:83
6465;35761;3010;270.0;32;1:32
30018;13876;3438;240.0;1;10:1
30018;17126;10418;780.0;1;1:1
30018;19431;1142;120.0;2;10:2
30018;17128;10436;828.0;2;1:2
30018;19433;1135;102.0;58;8:58
30018;38796;9916;600.0;63;8:63
6467;21197;2573;180.0;29;1:29
6467;12638;6547;570.0;3;1:3
30020;32803;4603;303.42857142857144;21;8:20,1:1
30020;15442;1488;177.94285714285715;70;7:70
30020;15443;1489;180.0;2;7:2
30020;4004;9128;480.0;5;3:5
30020;18440;8695;585.7894736842105;19;8:19
30020;38084;4607;300.0;83;8:83
30020;18442;8697;616.0;3;8:3
30020;34572;10173;723.2307692307693;13;8:10,1:3
30020;18;876;120.0;1;10:1
30021;33432;10488;780.0;1;3:1
30021;31698;10461;780.0;4;3:4
30021;31699;10456;780.0;3;3:3
30021;24744;10436;780.0;2;3:2
30021;24745;10443;780.0;14;3:14
30021;38796;9901;600.0;1;8:1
30021;17128;10419;780.0;1;3:1
30021;38798;9889;630.0;11;3:9,7:2
30022;30339;18736;1425.0;4;1168:1,1162:1,1170:1,1166:1
30022;4004;9113;510.0;24;3:24
30022;4002;9113;510.0;16;3:16
30022;22787;47965;3300.0;1;3:1
30022;34572;10177;656.0;30;1:28,1186:1,1188:1
30023;24707;2292;185.0;1;10:1
30023;24741;10414;780.0;2;1:1,1167:1
30023;17126;10406;780.0;3;1:2,3:1
30023;17127;10411;780.0;4;1:4
30023;17128;10424;780.0;2;1:2
30023;24745;10447;780.0;1;3:1
30023;17132;10420;750.0;2;1169:1,1189:1
30023;38796;9905;649.4117647058823;17;8:17
30023;38798;9893;630.0;11;1:10,14:1
30023;17129;10428;780.0;9;1:9
30023;33432;10493;780.0;1;3:1
30023;33437;10476;765.0;2;1:1,3:1
30023;17130;10400;780.0;2;1163:1,1171:1
30024;20;853;90.0;5;10:5
30024;38084;4596;306.0;5;10:5
30024;19;872;120.82191780821918;73;10:73
30024;24707;2265;180.83076923076922;65;10:65
26953;34348;1252;101.5945945945946;74;9:74
26953;28117;5147;307.2;5;9:5
24118;38688;1486;194.83333333333334;36;10:1,11:33,13:2
24118;38689;1485;184.0;6;11:6
24118;38691;1487;173.9375;96;10:72,11:1,13:23
27980;33272;3077;179.51351351351352;37;8:37
27980;38502;2817;155.83333333333334;6;8:5,13:1
27981;33272;3078;180.0;1;8:1
27981;38502;2816;155.6;55;8:39,13:16
15698;35832;2340;179.6153846153846;39;8:15,1:24
15698;35833;2339;179.6153846153846;13;8:5,1:8
13651;30792;1824;174.0;1;12:1
13651;16634;903;84.0;1;12:1
13651;16636;900;89.73033707865169;89;12:89
13652;9880;1281;115.2;85;12:82,4:3
13652;9878;1289;113.45454545454545;11;12:11
13652;9879;1284;108.0;1;12:1
1365;34772;2059;236.72727272727272;22;9:6,10:11,13:5
1365;34773;2065;181.89473684210526;95;9:68,10:10,13:17
1365;34774;2060;224.0;3;9:1,10:2
39254;33134;1412;137.0;25;14:25
24982;12239;950;81.25;48;12:48
12637;35832;13519;1560.0;1;1161:1
12637;6465;6554;510.0;3;1:3
12637;22939;1955;179.92592592592592;27;1:27
12637;22940;1951;180.0;1;1:1
12638;22940;1942;179.0;1;1:1
28389;32516;2361;179.86363636363637;44;10:4,11:40
3427;28117;1331;113.1891891891892;74;9:74
3428;38802;1407;102.0;74;9:74
3428;28117;1331;131.0;1;9:1
18150;9155;1255;155.0;1;6:1
15719;13377;1300;108.0;142;9:142
15720;38121;1387;102.0;143;9:143
17127;30020;10434;875.0;1;1:1
17127;38797;1170;179.0;2;1:2
17127;30022;10418;719.5;2;1168:1,1:1
33134;4118;1348;132.0;25;14:25
33134;39254;1412;138.0;26;14:26
38803;8272;1152;169.5;4;11:4
38803;31692;1151;159.6;5;11:5
18806;21158;1534;126.0;84;11:84
37097;25587;887;78.0;69;7:69
19832;33788;1933;120.0;42;9:1,10:19,13:22
19832;5342;3197;222.0;67;10:67
8166;3920;490;66.0;25;14:25
8166;10615;1094;90.23076923076923;26;14:26
29052;26953;2049;126.0;74;9:74
38122;15719;1387;102.0;142;9:142
22421;28389;1472;90.0;44;10:4,11:40
20836;14898;1462;158.16666666666666;72;12:72
20836;11231;1461;198.0;3;12:3
12676;8270;945;150.10714285714286;112;9:9,10:3,11:100
12676;8271;947;149.79166666666666;144;9:142,11:2
12677;28733;636;84.0;171;10:153,11:18
11231;13985;3846;322.2;10;12:10
11231;38799;3841;336.0;6;9:6
10409;19383;1339;116.8695652173913;46;12:46
26348;10721;1251;90.0;60;12:60
30019;13878;3448;239.83098591549296;71;10:71
30019;19431;1148;108.0;73;10:73
26349;10718;1229;90.0;55;12:55
24978;12237;941;90.0;48;12:48
24979;26349;987;90.0;43;12:43
28390;3702;1473;108.0;44;10:2,11:42
22939;21196;2569;210.0;27;1:27
22940;21196;2570;210.0;2;1:2
22940;12637;1951;224.0;3;1:3
22940;12638;1942;242.53846153846155;26;1:26
2463;35320;1369;174.0;25;12:25
2463;35321;1380;175.73076923076923;52;12:52
2463;15888;1361;174.0;1;12:1
15442;952;1224;90.0;70;7:70
8436;4241;4214;246.6122448979592;49;12:45,4:4
30118;23320;1181;180.0;2;10:2
30118;37822;1440;210.0;42;11:42
423;34037;1830;116.85714285714286;126;9:126
424;25690;7100;360.0;8;9:8
424;2531;1600;127.05263157894737;57;9:57
424;2532;1599;149.8181818181818;66;9:66
2475;35133;1278;96.0;83;12:83
30792;10409;2853;161.06666666666666;45;12:45
30792;19383;4185;240.66666666666666;36;12:36
20915;16060;664;114.0;1;8:1
20915;27098;2784;174.0;38;8:38
20915;15892;681;84.97297297297297;37;8:37
21577;15589;2070;138.0;93;10:69,13:24
19896;13880;6781;587.2615384615384;65;10:65
19896;24249;1316;126.0;74;10:74
19896;22227;1868;174.4;15;10:15
19896;19430;8888;706.8;5;7:5
19896;13881;6767;576.0;1;10:1
37305;21438;1052;97.33333333333333;27;3:27
37308;12454;1709;137.04;25;3:25
34239;5165;1360;96.0;75;6:75
27072;20915;2792;162.0;38;8:38
30055;35713;3917;210.0;119;9:74,10:23,13:22
22992;25857;642;102.17543859649123;171;10:153,11:18
22993;28732;1060;150.0;256;9:151,10:3,11:102
28115;3428;1326;108.16216216216216;74;9:74
28115;25690;18663;876.0;6;9:6
28115;34036;9777;630.0;57;9:57
28115;26951;5141;360.0;6;9:6
28116;13985;5775;537.2631578947369;57;12:44,4:13
28116;14898;1960;190.58823529411765;51;12:49,4:2
28116;20836;504;52.0;75;12:75
28116;38801;5766;726.0;1;4:1
28116;38798;5764;531.6;15;4:15
28116;11231;1961;208.28571428571428;7;12:7
28117;38122;1265;96.80281690140845;142;9:142
28118;9874;6459;454.3636363636364;88;12:61,4:27
28118;10212;1120;119.87234042553192;47;12:47
28118;10214;1119;88.66666666666667;27;12:27
28118;9879;6441;450.0;1;12:1
28118;10722;3107;240.0;1;12:1
28118;10719;3103;193.609756097561;41;12:41
7640;32394;1106;90.0;93;6:93
7640;5543;3310;225.33333333333334;18;6:18
7641;36961;3518;276.0;4;6:4
7641;36963;3513;276.0;21;6:21
7641;30516;1854;126.0;81;6:81
27098;31052;2222;156.0;38;8:38
23004;8283;997;234.0;1;6:1
23004;8285;996;161.93908629441626;197;3:6,6:191
